,Film,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Film ID
98,The Wizard of Oz,1939,102,"Adventure,Family,Fantasy",8.0,"378,893",736cefc8-1a8f-4249-943d-7dce78308ddf
99,Wuthering Heights,1939,104,"Drama,Romance",7.6,"17,314",961860de-899b-4c9a-85ba-d5fb0359cbfb
100,Rebecca,1940,130,"Drama,Mystery,Romance",8.1,"130,546",e39af7f6-07a0-44e2-ad07-3924634c0aea
101,"All This, and Heaven Too",1940,141,"Drama,Romance",7.5,"4,728",83619bb1-3c1d-4e3b-bf20-98f9dca469f3
102,Foreign Correspondent,1940,120,"Action,Romance,Thriller",7.5,"19,657",d0f8a19e-333c-4dde-aedc-5a15d1df26e0
103,The Grapes of Wrath,1940,129,"Drama,History",8.1,"89,303",1709969c-4b54-4c2b-a3ef-384c9a800499
104,The Great Dictator,1940,125,"Comedy,Drama,War",8.4,"212,446",0abfd0f9-e6e1-4472-8b47-c36c4d34b76e
105,Kitty Foyle,1940,108,"Drama,Romance",6.9,"3,495",31371633-b7be-4548-a770-c594d52adc1b
106,The Letter,1940,95,"Crime,Drama,Film-Noir",7.6,"12,503",a70ff35f-ffc2-4081-8af5-e21d50f21adb
107,The Long Voyage Home,1940,105,"Drama,War",7.0,"4,139",a7c8d95f-898d-40c0-9880-be1174375e08
108,Our Town,1940,90,"Drama,Romance",6.6,"2,525",094d9387-875a-4973-b6e4-fed1231ae253
109,The Philadelphia Story,1940,112,"Comedy,Romance",7.9,"66,044",c75809c1-8391-4a67-924b-4a5dfcfdaef0
110,How Green Was My Valley,1941,118,"Drama,Family",7.7,"22,753",86576fae-02a5-4f78-afe5-908908310def
111,Blossoms in the Dust,1941,99,"Biography,Drama,Romance",6.9,"1,919",75142b0a-bc65-40aa-82b6-716395a2946d
112,Citizen Kane,1941,119,"Drama,Mystery",8.3,"420,959",765e5aea-e5af-4695-9be2-f3ef765b8012
113,Here Comes Mr. Jordan,1941,94,"Comedy,Fantasy,Romance",7.6,"6,154",0da3472b-30f2-499d-9418-6af8d76d2028
114,Hold Back the Dawn,1941,116,"Drama,Romance",7.4,"2,247",0c375c45-09a9-464e-bc4e-15a1df41ba11
115,The Little Foxes,1941,116,"Drama,Romance",8.0,"11,254",4fd7b78f-8984-4220-a075-b30022fde49f
116,The Maltese Falcon,1941,100,"Crime,Film-Noir,Mystery",8.0,"152,988",86d1ae85-1bda-4459-912d-d21a430496b9
117,One Foot in Heaven,1941,108,"Biography,Drama",6.8,"1,213",ea25fe87-1c55-4e28-bd3f-4bef5da7419e
118,Sergeant York,1941,134,"Biography,Drama,History",7.7,"17,415",4c463067-6325-43eb-8f11-e17695722ca9
119,Suspicion,1941,99,"Film-Noir,Mystery,Thriller",7.4,"36,081",d7422da7-0391-4b9e-a1e6-99a169b7d9fe
120,Mrs. Miniver,1942,134,"Drama,Romance,War",7.6,"16,879",697603ab-2be4-4a8c-88be-b96bdfe299cf
121,49th Parallel,1941,123,"Drama,Thriller,War",7.3,"6,333",6f05b0c0-cc9e-4f2f-b208-0aec3b17c727
122,Kings Row,1942,127,"Drama,Mystery,Romance",7.5,"4,285",c19bbf1c-15de-4eba-9ae4-c491063a83fe
123,The Magnificent Ambersons,1942,88,"Drama,Romance",7.7,"23,662",36febb3c-b95a-4830-a4a4-8e2ec057cbd2
124,The Pied Piper,1942,87,"Drama,War",7.1,565,91e29b8b-715b-4755-a0f1-ee5098a0cdf3
125,The Pride of the Yankees,1942,128,"Biography,Drama,Romance",7.7,"10,459",13aebc37-5ad5-45fc-888f-8acedb312621
126,Random Harvest,1942,126,"Adventure,Drama,Family",8.0,"7,331",9a4e6934-a118-4962-9a79-0bf4950f1b65
127,The Talk of the Town,1942,118,"Comedy,Drama,Romance",7.5,"7,884",d960aa81-38e9-466c-8b15-96ba859fcc80
128,Wake Island,1942,88,"Action,Drama,War",6.8,"1,924",c7d20743-838e-46e9-bed1-449681a16609
129,Yankee Doodle Dandy,1942,126,"Biography,Drama,Music",7.7,"14,872",06f78a82-6916-485b-9753-a1ba18a4a938
130,Casablanca,1942,102,"Drama,Romance,War",8.5,"541,023",5450540a-1dec-4572-8752-75c5ae55cf7d
131,For Whom the Bell Tolls,1943,170,"Adventure,Drama,History",6.9,"8,880",f8981628-2933-42ec-a21b-e9c31164979b
132,Heaven Can Wait,1943,112,"Comedy,Drama,Fantasy",7.4,"10,272",7694bb35-bd99-4b9f-8616-e3c1c0462484
